㘉;zhi;4;zhì
㘊;yi;4;yì
㘋;xian;2;xían
㘌;ju;4;jù
㘍;ji;2;jí
㘎;han;3;hǎn
㘐;pao;4;pào
㘑;li;4;lì
㘓;lan;2;lán
㘔;can;3;cǎn
㘕;han;3;hǎn
㘖;yan;2;yán
㘙;yan;2;yán
㘚;han;3;hǎn
㘜;chi;3;chǐ
㘝;nian;3;nǐan
㘞;huo;4;hùo
㘠;bi;4;bì
㘡;xia;2;xía
㘢;weng;3;wěng
㘣;xuan;2;xúan
㘥;you;2;yóu
㘦;qin;2;qín
㘧;xu;4;xù
㘨;nei;4;nèi
㘩;bi;4;bì
㘪;hao;4;hào
㘫;jing;3;jǐng
㘬;ao;4;ào
㘭;ao;4;ào
㘲;ju;2;jú
㘴;zuo;4;zùo
㘵;bu;4;bù
㘶;jie;2;jíe
㘷;ai;4;ài
㘸;zang;4;zàng
㘹;ci;2;cí
㘺;fa;2;fá
㘿;nie;4;nìe
㙀;liu;4;lìu
㙁;mang;3;mǎng
㙂;dui;4;dùi
㙄;bi;4;bì
㙅;bao;3;bǎo
㙇;chu;4;chù
㙈;han;2;hán
㙉;tian;3;tǐan
㙊;chang;2;cháng
㙏;fu;4;fù
㙐;duo;3;dǔo
㙑;yu;3;yǔ
㙒;ye;3;yě
㙓;kui;2;kúi
㙔;han;2;hán
㙕;kuai;4;kùai
㙗;kuai;4;kùai
㙙;long;3;lǒng
㙛;bu;3;bǔ
㙜;chi;2;chí
㙝;xie;2;xíe
㙞;nie;4;nìe
㙟;lang;3;lǎng
㙠;yi;4;yì
㙢;man;2;mán
㙣;zhang;4;zhàng
㙤;xia;4;xìa
㙥;gun;3;gǔn
㙨;ji;4;jì
㙩;liao;2;líao
㙪;ye;4;yè
㙫;ji;2;jí
㙬;yin;2;yín
㙮;da;1;dā
㙯;yi;4;yì
㙰;xie;4;xìe
㙱;hao;4;hào
㙲;yong;3;yǒng
㙳;han;3;hǎn
㙴;chan;4;chàn
㙵;tai;2;tái
㙶;tang;2;táng
㙷;zhi;2;zhí
㙸;bao;4;bào
㙹;meng;2;méng
㙺;gui;4;gùi
㙻;chan;2;chán
㙼;lei;3;lěi
㙾;xi;4;xì
㚁;qiao;2;qíao
㚂;rang;2;ráng
㚃;yun;2;yún
㚅;long;2;lóng
㚆;fu;4;fù
㚉;gu;3;gǔ
㚌;hua;4;hùa
㚍;guo;2;gúo
㚏;gao;3;gǎo
㚐;tao;4;tào
㚒;shan;3;shǎn
㚓;lai;2;lái
㚔;nie;4;nìe
㚕;fu;2;fú
㚖;gao;3;gǎo
㚗;qie;2;qíe
㚘;ban;4;bàn
㚛;xi;4;xì
㚜;xu;4;xù
㚝;kui;2;kúi
㚞;meng;3;měng
㚟;chuo;4;chùo
㚡;ji;3;jǐ
㚢;nu;2;nú
㚣;xiao;2;xíao
㚤;yi;4;yì
㚥;yu;2;yú
㚦;yi;2;yí
㚧;yan;3;yǎn
㚩;ran;3;rǎn
㚪;hao;4;hào
㚫;sha;4;shà
㚭;you;2;yóu
㚯;xin;2;xín
㚰;bi;3;bǐ
㚲;dian;3;dǐan
㚴;bu;4;bù
㚶;si;4;sì
㚷;er;3;ěr
㚹;mao;3;mǎo
㚺;yun;4;yùn
㚽;qiao;3;qǐao
㚿;pao;2;páo
㛂;nuo;3;nǔo
㛃;jie;2;jíe
㛅;er;4;èr
㛆;duo;3;dǔo
㛊;duo;3;dǔo
㛍;qie;4;qìe
㛏;ou;4;òu
㛐;sou;3;sǒu
㛑;can;4;càn
㛒;dou;4;dòu
㛔;peng;2;péng
㛕;yi;4;yì
㛗;zuo;4;zùo
㛘;po;4;pò
㛙;qie;4;qìe
㛚;tong;3;tǒng
㛛;xin;4;xìn
㛜;you;2;yóu
㛝;bei;4;bèi
㛞;long;4;lòng
㛥;ta;4;tà
㛦;lan;3;lǎn
㛧;man;3;mǎn
㛨;qiang;3;qǐang
㛩;zhou;2;zhóu
㛪;yan;4;yàn
㛬;lu;4;lù
㛮;sao;3;sǎo
㛯;mian;3;mǐan
㛱;rui;4;rùi
㛲;fa;4;fà
㛳;cha;4;chà
㛴;nao;3;nǎo
㛶;chou;2;chóu
㛸;shu;4;shù
㛹;pian;2;pían
㛻;kui;3;kǔi
㛼;sha;4;shà
㛾;xian;2;xían
㛿;zhi;4;zhì
㜃;lian;4;lìan
㜄;xun;2;xún
㜅;xu;4;xù
㜆;mi;4;mì
㜇;hui;4;hùi
㜈;mu;4;mù
㜊;pang;4;pàng
㜋;yi;4;yì
㜌;gou;4;gòu
㜍;tang;2;táng
㜎;qi;2;qí
㜏;yun;2;yún
㜐;shu;4;shù
㜑;fu;2;fú
㜒;yi;4;yì
㜓;da;2;dá
㜕;lian;2;lían
㜖;cao;2;cáo
㜗;can;3;cǎn
㜘;ju;4;jù
㜙;lu;4;lù
㜚;su;4;sù
㜛;nen;4;nèn
㜜;ao;4;ào
㜝;an;3;ǎn
㜞;qian;4;qìan
㜣;ran;2;rán
㜤;shen;3;shěn
㜥;mai;2;mái
㜦;han;4;hàn
㜧;yue;4;yùe
㜨;er;2;ér
㜩;ao;4;ào
㜪;xian;3;xǐan
㜫;ma;4;mà
㜮;lan;4;làn
㜰;yue;4;yùe
㜱;dong;4;dòng
㜲;weng;3;wěng
㜳;huai;2;húai
㜴;meng;4;mèng
㜵;niao;3;nǐao
㜶;wan;3;wǎn
㜷;mi;2;mí
㜸;nie;4;nìe
㜹;qu;2;qú
㜺;zan;4;zàn
㜻;lian;4;lìan
㜼;zhi;2;zhí
㜽;zi;3;zǐ
㜾;hai;2;hái
㜿;xu;4;xù
㝀;hao;4;hào
㝁;xun;2;xún
㝂;zhi;4;zhì
㝃;fan;4;fàn
㝄;chun;2;chún
㝅;gou;4;gòu
㝇;chun;2;chún
㝈;luan;2;lúan
㝉;zhu;4;zhù
㝊;shou;3;shǒu
㝋;liao;2;líao
㝌;jie;2;jíe
㝍;xie;3;xǐe
㝎;ding;4;dìng
㝏;jie;4;jìe
㝐;rong;2;róng
㝑;mang;2;máng
㝓;ge;2;gé
㝔;yao;4;yào
㝕;ning;2;níng
㝖;yi;2;yí
㝗;lang;2;láng
㝘;yong;2;yóng
㝙;yin;2;yín
㝛;su;4;sù
㝝;lin;2;lín
㝞;ya;4;yà
㝟;mao;2;máo
㝠;ming;2;míng
㝡;zui;4;zùi
㝢;yu;3;yǔ
㝣;ye;4;yè
㝤;gou;4;gòu
㝥;mi;3;mǐ
㝦;jun;4;jùn
㝧;wen;3;wěn
㝪;dian;4;dìan
㝫;long;2;lóng
㝭;xing;3;xǐng
㝮;cui;4;cùi
㝯;qiao;2;qíao
㝰;mian;2;mían
㝱;meng;4;mèng
㝲;qin;3;qǐn
㝴;wan;2;wán
㝵;de;2;dé
㝶;ai;4;ài
㝸;bian;4;bìan
㝹;nou;2;nóu
㝺;lian;2;lían
